u,v,adamic_adar,jaccard,preferential_attachment,resource_allocation,common_neighbors,shortest_path,deg_u,deg_v,wdeg_u,wdeg_v,clustering_u,clustering_v,label
amyfitzpatrick,rickbuy,0.0,0.0,12,0.0,0,3,2,6,6,25,1.0,0.26666666666666666,1
audreyrobertson,elizabethsager,0.0,0.0,112,0.0,0,3,7,16,33,80,0.7619047619047619,0.2,0
elizabethlinnell,christianyoder,0.0,0.0,2,0.0,0,4,1,2,4,9,0.0,0.0,0
inarangel,ericbass,0.0,0.0,30,0.0,0,3,10,3,154,33,0.2222222222222222,0.0,0
torikuykendall,ziminlu,0.0,0.0,6,0.0,0,4,6,1,15,3,0.3333333333333333,0.0,0
molliegustafson,cheryljohnson,0.0,0.0,3,0.0,0,5,1,3,1,19,0.0,0.3333333333333333,0
tanajones,mikemaggi,0.4170323914242463,0.07692307692307693,33,0.09090909090909091,1,2,11,3,58,36,0.32727272727272727,0.6666666666666666,0
davidbaumbach,alanaronowitz,0.0,0.0,6,0.0,0,5,1,6,8,142,0.0,0.4,0
gregjohnston,markkoenig,0.0,0.0,9,0.0,0,4,3,3,6,12,0.3333333333333333,0.0,0
samanthaboyd,davidbaumbach,0.0,0.0,7,0.0,0,6,7,1,35,8,0.6190476190476191,0.0,0
johnarnold,lornabrennan,0.0,0.0,44,0.0,0,5,11,4,161,11,0.2545454545454545,0.8333333333333334,0
larrycampbell,juliearmstrong,0.5581106265512472,0.125,8,0.16666666666666666,1,2,1,8,4,16,0.0,0.4642857142857143,0
molliegustafson,pattisullivan,0.0,0.0,1,0.0,0,3,1,1,1,5,0.0,0.0,0
michellelokay,garyhickerson,0.0,0.0,18,0.0,0,4,9,2,61,2,0.5,1.0,0
brianredmond,sarashackleton,0.3001016285004131,0.058823529411764705,45,0.03571428571428571,1,2,3,15,13,101,0.3333333333333333,0.3142857142857143,0
gregjohnston,stewartrosman,0.0,0.0,6,0.0,0,3,3,2,6,3,0.3333333333333333,0.0,0
martincuilla,joehartsoe,0.0,0.0,3,0.0,0,4,1,3,2,3,0.0,0.6666666666666666,0
sheilaglover,robmilnthorp,0.0,0.0,12,0.0,0,3,4,3,25,14,0.6666666666666666,1.0,0
davidport,chrisabel,0.0,0.0,5,0.0,0,3,5,1,19,4,0.3,0.0,0
amyfitzpatrick,wescolwell,0.3001016285004131,0.2,8,0.03571428571428571,1,2,2,4,6,7,1.0,0.5,0
chrisgaskill,dutchquigley,0.0,0.0,18,0.0,0,3,3,6,7,72,0.3333333333333333,0.5,0
inarangel,timbelden,0.0,0.0,70,0.0,0,3,10,7,154,39,0.2222222222222222,0.2857142857142857,0
russelldiamond,tklohman,0.0,0.0,6,0.0,0,7,1,6,5,20,0.0,0.8666666666666667,0
jimschwieger,mikegrigsby,1.23375467977551,0.11764705882352941,70,0.3787878787878788,2,2,5,14,22,118,0.2,0.1978021978021978,0
debraperlingiere,sallybeck,0.0,0.0,36,0.0,0,3,4,9,15,27,0.16666666666666666,0.19444444444444445,0
frankermis,debraperlingiere,0.0,0.0,16,0.0,0,4,4,4,54,15,0.8333333333333334,0.16666666666666666,0
laureladams,shonawilson,0.0,0.0,6,0.0,0,5,3,2,35,10,0.6666666666666666,0.0,0
inarangel,marycook,0.0,0.0,110,0.0,0,3,10,11,154,125,0.2222222222222222,0.4909090909090909,0
audreyrobertson,lauraluce,0.0,0.0,14,0.0,0,5,7,2,33,18,0.7619047619047619,0.0,0
shonawilson,rosaleefleming,0.0,0.0,2,0.0,0,4,2,1,10,2,0.0,0.0,0
davidoxley,jimschwieger,0.7578099350519243,0.2222222222222222,30,0.14545454545454545,2,2,6,5,32,22,0.6666666666666666,0.2,0
rodhayslett,gregjohnston,0.0,0.0,36,0.0,0,3,12,3,109,6,0.16666666666666666,0.3333333333333333,0
sheilatweed,dutchquigley,0.0,0.0,12,0.0,0,4,2,6,3,72,0.0,0.5,0
johnambler,lisamellencamp,0.0,0.0,6,0.0,0,4,1,6,4,25,0.0,0.06666666666666667,0
cheryljohnson,shelleycorman,0.0,0.0,15,0.0,0,5,3,5,19,20,0.3333333333333333,0.4,0
cameron,kennethlay,0.0,0.0,15,0.0,0,3,3,5,19,34,1.0,0.3,0
lisamellencamp,christianyoder,0.36067376022224085,0.14285714285714285,12,0.0625,1,2,6,2,25,9,0.06666666666666667,0.0,0
laureladams,stephaniesever,0.0,0.0,6,0.0,0,3,3,2,35,4,0.6666666666666666,0.0,0
cindyolson,markkoenig,0.6213349345596119,0.2,9,0.2,1,2,3,3,4,12,0.3333333333333333,0.0,0
johngriffith,tanyarohauer,0.4170323914242463,0.058823529411764705,77,0.09090909090909091,1,2,7,11,88,56,0.23809523809523808,0.41818181818181815,0
arsystem,keithholst,0.3789231816899512,0.125,18,0.07142857142857142,1,2,6,3,19,8,0.13333333333333333,0.6666666666666666,0
jamesderrick,amyfitzpatrick,0.43429448190325176,0.16666666666666666,10,0.1,1,2,5,2,19,6,0.2,1.0,0
jayreitmeyer,scottneal,0.8132176635932029,0.25,30,0.17142857142857143,2,2,5,6,40,16,0.5,0.6666666666666666,0
timbelden,larrycampbell,0.0,0.0,7,0.0,0,4,7,1,39,4,0.2857142857142857,0.0,0
info,jeffdasovich,0.40242960438184466,0.06666666666666667,42,0.08333333333333333,1,2,3,14,10,138,0.0,0.12121212121212122,0
juliearmstrong,cheryljohnson,0.0,0.0,24,0.0,0,5,8,3,16,19,0.4642857142857143,0.3333333333333333,0
rosaleefleming,sarashackleton,0.0,0.0,15,0.0,0,4,1,15,2,101,0.0,0.3142857142857143,0
lindydonoho,richardcausey,0.40242960438184466,0.125,8,0.08333333333333333,1,2,8,1,44,3,0.5,0.0,0
johngriffith,elizabethsager,0.0,0.0,112,0.0,0,3,7,16,88,80,0.23809523809523808,0.2,0
sheilatweed,cindyolson,0.0,0.0,6,0.0,0,4,2,3,3,4,0.0,0.3333333333333333,0
chrisgaskill,brittdavis,0.0,0.0,9,0.0,0,4,3,3,7,10,0.3333333333333333,0.3333333333333333,0
drewfossum,frankermis,0.0,0.0,24,0.0,0,4,6,4,57,54,0.26666666666666666,0.8333333333333334,0
jamesderrick,errolmclaughlin,0.0,0.0,25,0.0,0,4,5,5,19,127,0.2,0.5,0
lesliereeves,brittdavis,0.0,0.0,12,0.0,0,3,4,3,14,10,0.5,0.3333333333333333,0
nancysellers,vkaminski,0.0,0.0,4,0.0,0,-1,4,1,31,16,0.6666666666666666,0.0,0
brianredmond,kamkeiser,0.0,0.0,33,0.0,0,3,3,11,13,107,0.3333333333333333,0.18181818181818182,0
karendenne,drewfossum,0.0,0.0,48,0.0,0,3,8,6,60,57,0.42857142857142855,0.26666666666666666,0
jamesderrick,laureladams,0.0,0.0,15,0.0,0,4,5,3,19,35,0.2,0.6666666666666666,0
suzanneadams,sarashackleton,0.36067376022224085,0.058823529411764705,45,0.0625,1,2,3,15,17,101,0.6666666666666666,0.3142857142857143,0
davidbaumbach,keithholst,0.0,0.0,3,0.0,0,4,1,3,8,8,0.0,0.6666666666666666,0
johnlavorato,rodhayslett,0.48089834696298783,0.030303030303030304,264,0.125,1,2,22,12,124,109,0.15584415584415584,0.16666666666666666,0
larrycampbell,sarashackleton,0.0,0.0,15,0.0,0,4,1,15,4,101,0.0,0.3142857142857143,0
edwardsacks,eldon,0.0,0.0,12,0.0,0,4,6,2,17,12,0.7333333333333333,1.0,0
matthewlenhart,lisamellencamp,0.0,0.0,30,0.0,0,4,5,6,32,25,0.5,0.06666666666666667,0
joehartsoe,russelldiamond,0.0,0.0,3,0.0,0,6,3,1,3,5,0.6666666666666666,0.0,0
johnlavorato,cindyolson,1.613740043014111,0.13636363636363635,66,0.4666666666666667,3,2,22,3,124,4,0.15584415584415584,0.3333333333333333,0
robertbadeer,matthewlenhart,0.7959555731141975,0.3333333333333333,15,0.16233766233766234,2,2,3,5,12,32,0.6666666666666666,0.5,0
danadavis,victorlamadrid,0.0,0.0,2,0.0,0,5,2,1,4,55,0.0,0.0,0
juliamurray,christianyoder,0.36067376022224085,0.2,8,0.0625,1,2,4,2,13,9,0.3333333333333333,0.0,0
tanyarohauer,johngriffith,0.4170323914242463,0.058823529411764705,77,0.09090909090909091,1,2,11,7,56,88,0.41818181818181815,0.23809523809523808,0
janetdietrich,stuartzisman,0.0,0.0,5,0.0,0,4,5,1,28,1,0.7,0.0,0
vkaminski,amyfitzpatrick,0.0,0.0,2,0.0,0,-1,1,2,16,6,0.0,1.0,0
cindyolson,sarahnovosel,0.0,0.0,6,0.0,0,4,3,2,4,6,0.3333333333333333,0.0,0
shonawilson,pattisullivan,0.0,0.0,2,0.0,0,5,2,1,10,5,0.0,0.0,0
sallybeck,karendenne,1.1686905923069166,0.21428571428571427,72,0.2357142857142857,3,2,9,8,27,60,0.19444444444444445,0.42857142857142855,0
lorrainelindberg,brenthendry,0.0,0.0,30,0.0,0,5,5,6,13,9,1.0,0.5333333333333333,0
travismccullough,danadavis,0.0,0.0,8,0.0,0,3,4,2,4,4,0.3333333333333333,0.0,0
nancysellers,arsystem,0.0,0.0,24,0.0,0,4,4,6,31,19,0.6666666666666666,0.13333333333333333,0
errolmclaughlin,dutchquigley,1.3652252156972489,0.42857142857142855,30,0.33376623376623377,3,2,5,6,127,72,0.5,0.5,0
paulkaufman,rickbuy,0.0,0.0,18,0.0,0,3,3,6,24,25,0.6666666666666666,0.26666666666666666,0
markkoenig,inarangel,0.0,0.0,30,0.0,0,3,3,10,12,154,0.0,0.2222222222222222,0
raymondbowen,garyhickerson,0.3001016285004131,0.1111111111111111,16,0.03571428571428571,1,2,8,2,39,2,0.2857142857142857,1.0,0
vkaminski,cameron,0.0,0.0,3,0.0,0,-1,1,3,16,19,0.0,1.0,0
kennethlay,lesliereeves,0.3001016285004131,0.125,20,0.03571428571428571,1,2,5,4,34,14,0.3,0.5,0
jayreitmeyer,stephaniesever,0.4170323914242463,0.16666666666666666,10,0.09090909090909091,1,2,5,2,40,4,0.5,0.0,0
inarangel,chrisgaskill,1.000258116249563,0.18181818181818182,30,0.27142857142857146,2,2,10,3,154,7,0.2222222222222222,0.3333333333333333,0
johngriffith,frankermis,0.0,0.0,28,0.0,0,3,7,4,88,54,0.23809523809523808,0.8333333333333334,0
sallybeck,edwardsacks,0.3001016285004131,0.07142857142857142,54,0.03571428571428571,1,2,9,6,27,17,0.19444444444444445,0.7333333333333333,0
larrycampbell,mikemaggi,0.0,0.0,3,0.0,0,6,1,3,4,36,0.0,0.6666666666666666,0
mikegrigsby,davidport,0.32351545314867247,0.05555555555555555,70,0.045454545454545456,1,2,14,5,118,19,0.1978021978021978,0.3,0
gregjohnston,lauraluce,0.0,0.0,6,0.0,0,3,3,2,6,18,0.3333333333333333,0.0,0
errolmclaughlin,info,0.0,0.0,15,0.0,0,4,5,3,127,10,0.5,0.0,0
lisamellencamp,juliamurray,0.36067376022224085,0.1111111111111111,24,0.0625,1,2,6,4,25,13,0.06666666666666667,0.3333333333333333,0
ziminlu,karendenne,0.0,0.0,8,0.0,0,4,1,8,3,60,0.0,0.42857142857142855,0
lesliereeves,danadavis,0.0,0.0,8,0.0,0,3,4,2,14,4,0.5,0.0,0
janetdietrich,marycook,0.0,0.0,55,0.0,0,3,5,11,28,125,0.7,0.4909090909090909,0
danadavis,info,0.0,0.0,6,0.0,0,4,2,3,4,10,0.0,0.0,0
laureladams,jimschwieger,0.0,0.0,15,0.0,0,4,3,5,35,22,0.6666666666666666,0.2,0
info,jamesderrick,0.0,0.0,15,0.0,0,3,3,5,10,19,0.0,0.2,0
victorlamadrid,johnarnold,0.0,0.0,11,0.0,0,4,1,11,55,161,0.0,0.2545454545454545,0
vkaminski,samanthaboyd,0.0,0.0,7,0.0,0,-1,1,7,16,35,0.0,0.6190476190476191,0
laureladams,markkoenig,0.0,0.0,9,0.0,0,5,3,3,35,12,0.6666666666666666,0.0,0
michellelokay,susanbailey,0.0,0.0,90,0.0,0,4,9,10,61,61,0.5,0.4444444444444444,0
robmilnthorp,karendenne,0.6236170816490856,0.2222222222222222,24,0.08116883116883117,2,2,3,8,14,60,1.0,0.42857142857142855,0
cindyolson,raymondbowen,0.0,0.0,24,0.0,0,3,3,8,4,39,0.3333333333333333,0.2857142857142857,0
tklohman,nancysellers,0.0,0.0,24,0.0,0,3,6,4,20,31,0.8666666666666667,0.6666666666666666,0
drewfossum,suzanneadams,0.0,0.0,18,0.0,0,3,6,3,57,17,0.26666666666666666,0.6666666666666666,0
info,russelldiamond,0.0,0.0,3,0.0,0,5,3,1,10,5,0.0,0.0,0
elizabethlinnell,marieheard,0.0,0.0,17,0.0,0,4,1,17,4,171,0.0,0.27205882352941174,0
tanajones,larrycampbell,0.0,0.0,11,0.0,0,5,11,1,58,4,0.32727272727272727,0.0,0
tanajones,sheilatweed,0.0,0.0,22,0.0,0,3,11,2,58,3,0.32727272727272727,0.0,0
vkamins,richardcausey,0.0,0.0,1,0.0,0,-1,1,1,16,3,0.0,0.0,0
tanyarohauer,psellers,0.0,0.0,33,0.0,0,4,11,3,56,10,0.41818181818181815,1.0,0
lorrainelindberg,johnarnold,0.0,0.0,55,0.0,0,5,5,11,13,161,1.0,0.2545454545454545,0
michellelokay,jimschwieger,0.0,0.0,45,0.0,0,4,9,5,61,22,0.5,0.2,0
susanbailey,andyzipper,0.0,0.0,60,0.0,0,3,10,6,61,31,0.4444444444444444,0.4,0
joehartsoe,davidforster,0.0,0.0,12,0.0,0,4,3,4,3,8,0.6666666666666666,0.6666666666666666,0
cindyolson,mikegrigsby,0.0,0.0,42,0.0,0,3,3,14,4,118,0.3333333333333333,0.1978021978021978,0
michellecash,cheryljohnson,0.0,0.0,30,0.0,0,3,10,3,30,19,0.24444444444444444,0.3333333333333333,0
raymondbowen,victorlamadrid,0.0,0.0,8,0.0,0,5,8,1,39,55,0.2857142857142857,0.0,0
tklohman,elizabethlinnell,0.0,0.0,6,0.0,0,4,6,1,20,4,0.8666666666666667,0.0,0
cameron,stephaniesever,0.0,0.0,6,0.0,0,4,3,2,19,4,1.0,0.0,0
sarashackleton,davidbaumbach,0.0,0.0,15,0.0,0,5,15,1,101,8,0.3142857142857143,0.0,0
laureladams,suzanneadams,0.0,0.0,9,0.0,0,4,3,3,35,17,0.6666666666666666,0.6666666666666666,0
cheryljohnson,drewfossum,0.0,0.0,18,0.0,0,4,3,6,19,57,0.3333333333333333,0.26666666666666666,0
russelldiamond,markkoenig,0.0,0.0,3,0.0,0,4,1,3,5,12,0.0,0.0,0
richardshapiro,garyhickerson,0.3001016285004131,0.125,14,0.03571428571428571,1,2,7,2,75,2,0.23809523809523808,1.0,0
kaymann,ericbass,0.0,0.0,30,0.0,0,5,10,3,38,33,0.07142857142857142,0.0,0
elizabethlinnell,stephaniepanus,0.0,0.0,8,0.0,0,4,1,8,4,59,0.0,0.2857142857142857,0
brianredmond,susanbailey,0.0,0.0,30,0.0,0,3,3,10,13,61,0.3333333333333333,0.4444444444444444,0
travismccullough,molliegustafson,0.0,0.0,4,0.0,0,4,4,1,4,1,0.3333333333333333,0.0,0
drewfossum,michellecash,0.9102392266268373,0.06666666666666667,60,0.3333333333333333,1,2,6,10,57,30,0.26666666666666666,0.24444444444444444,0
barrytycholiz,brittdavis,0.0,0.0,30,0.0,0,3,10,3,41,10,0.17777777777777778,0.3333333333333333,0
davidbaumbach,nancysellers,0.0,0.0,4,0.0,0,6,1,4,8,31,0.0,0.6666666666666666,0
brenthendry,raymondbowen,0.3001016285004131,0.07692307692307693,48,0.03571428571428571,1,2,6,8,9,39,0.5333333333333333,0.2857142857142857,0
cindyolson,lornabrennan,0.0,0.0,12,0.0,0,5,3,4,4,11,0.3333333333333333,0.8333333333333334,0
tanyarohauer,martincuilla,0.0,0.0,11,0.0,0,4,11,1,56,2,0.41818181818181815,0.0,0
kennethlay,stuartzisman,0.0,0.0,5,0.0,0,4,5,1,34,1,0.3,0.0,0
cindyolson,ziminlu,0.0,0.0,3,0.0,0,5,3,1,4,3,0.3333333333333333,0.0,0
sheilatweed,jayreitmeyer,0.0,0.0,10,0.0,0,5,2,5,3,40,0.0,0.5,0
torikuykendall,christianyoder,0.0,0.0,12,0.0,0,3,6,2,15,9,0.3333333333333333,0.0,0
tanyarohauer,jimschwieger,0.0,0.0,55,0.0,0,3,11,5,56,22,0.41818181818181815,0.2,0
elizabethsager,brianredmond,0.3001016285004131,0.05555555555555555,48,0.03571428571428571,1,2,16,3,80,13,0.2,0.3333333333333333,0
danadavis,juliamurray,0.0,0.0,8,0.0,0,3,2,4,4,13,0.0,0.3333333333333333,0
marycook,amyfitzpatrick,0.0,0.0,22,0.0,0,3,11,2,125,6,0.4909090909090909,1.0,0
suzanneadams,michellecash,0.0,0.0,30,0.0,0,3,3,10,17,30,0.6666666666666666,0.24444444444444444,0
audreyrobertson,suzanneadams,0.0,0.0,21,0.0,0,4,7,3,33,17,0.7619047619047619,0.6666666666666666,0
wescolwell,tanyarohauer,0.3001016285004131,0.07142857142857142,44,0.03571428571428571,1,2,4,11,7,56,0.5,0.41818181818181815,0
markkoenig,johnlavorato,1.0556294164628637,0.08695652173913043,66,0.30000000000000004,2,2,3,22,12,124,0.0,0.15584415584415584,0
sheilatweed,debraperlingiere,0.43429448190325176,0.2,8,0.1,1,2,2,4,3,15,0.0,0.16666666666666666,0
kevinhyatt,sarashackleton,0.0,0.0,90,0.0,0,3,6,15,23,101,0.4666666666666667,0.3142857142857143,0
audreyrobertson,drewfossum,0.40242960438184466,0.08333333333333333,42,0.08333333333333333,1,2,7,6,33,57,0.7619047619047619,0.26666666666666666,0
andyzipper,barrytycholiz,0.43429448190325176,0.06666666666666667,60,0.1,1,2,6,10,31,41,0.4,0.17777777777777778,0
lesliereeves,kamkeiser,0.0,0.0,44,0.0,0,3,4,11,14,107,0.5,0.18181818181818182,0
michellelokay,eldon,0.0,0.0,18,0.0,0,3,9,2,61,12,0.5,1.0,0
robmilnthorp,stewartrosman,0.0,0.0,6,0.0,0,4,3,2,14,3,1.0,0.0,0
mikegrigsby,cheryljohnson,0.0,0.0,42,0.0,0,4,14,3,118,19,0.1978021978021978,0.3333333333333333,0
garyhickerson,rodhayslett,0.0,0.0,24,0.0,0,3,2,12,2,109,1.0,0.16666666666666666,0
stevenharris,johnambler,0.0,0.0,12,0.0,0,5,12,1,90,4,0.3333333333333333,0.0,0
stephaniepanus,lorrainelindberg,0.0,0.0,40,0.0,0,4,8,5,59,13,0.2857142857142857,1.0,0
michellelokay,stuartzisman,0.0,0.0,9,0.0,0,4,9,1,61,1,0.5,0.0,0
michellecash,juliearmstrong,0.0,0.0,80,0.0,0,4,10,8,30,16,0.24444444444444444,0.4642857142857143,0
gregjohnston,cheryljohnson,0.35295612386476116,0.2,9,0.058823529411764705,1,2,3,3,6,19,0.3333333333333333,0.3333333333333333,0
rickbuy,michellelokay,0.0,0.0,54,0.0,0,3,6,9,25,61,0.26666666666666666,0.5,0
davidport,barrytycholiz,0.6236170816490856,0.15384615384615385,50,0.08116883116883117,2,2,5,10,19,41,0.3,0.17777777777777778,0
brenthendry,elizabethsager,2.1084574697732785,0.29411764705882354,96,0.47635599694423225,5,2,6,16,9,80,0.5333333333333333,0.2,0
arsystem,mikemaggi,0.0,0.0,18,0.0,0,3,6,3,19,36,0.13333333333333333,0.6666666666666666,0
nancysellers,ziminlu,0.0,0.0,4,0.0,0,6,4,1,31,3,0.6666666666666666,0.0,0
psellers,stevenharris,0.3789231816899512,0.07142857142857142,36,0.07142857142857142,1,2,3,12,10,90,1.0,0.3333333333333333,0
elizabethlinnell,douggilbert-smith,0.0,0.0,2,0.0,0,3,1,2,4,4,0.0,1.0,0
vkaminski,mikemaggi,0.0,0.0,3,0.0,0,-1,1,3,16,36,0.0,0.6666666666666666,0
tanyarohauer,davidbaumbach,0.0,0.0,11,0.0,0,5,11,1,56,8,0.41818181818181815,0.0,0
johnlavorato,cheryljohnson,0.0,0.0,66,0.0,0,3,22,3,124,19,0.15584415584415584,0.3333333333333333,0
garyhickerson,geraldnemec,0.0,0.0,8,0.0,0,3,2,4,2,22,1.0,0.0,0
larrycampbell,vkaminski,0.0,0.0,1,0.0,0,-1,1,1,4,16,0.0,0.0,0
danadavis,chrisabel,0.0,0.0,2,0.0,0,5,2,1,4,4,0.0,0.0,0
rickbuy,frankermis,0.0,0.0,24,0.0,0,3,6,4,25,54,0.26666666666666666,0.8333333333333334,0
shelleycorman,elizabethlinnell,0.0,0.0,5,0.0,0,5,5,1,20,4,0.4,0.0,0
elizabethsager,jayreitmeyer,0.0,0.0,80,0.0,0,3,16,5,80,40,0.2,0.5,0
dutchquigley,alanaronowitz,0.0,0.0,36,0.0,0,3,6,6,72,142,0.5,0.4,0
vkamins,juliamurray,0.0,0.0,4,0.0,0,-1,1,4,16,13,0.0,0.3333333333333333,0
kamkeiser,shelleycorman,0.0,0.0,55,0.0,0,4,11,5,107,20,0.18181818181818182,0.4,0
juliearmstrong,louisekitchen,0.0,0.0,224,0.0,0,4,8,28,16,148,0.4642857142857143,0.11904761904761904,0
marieheard,kaymann,1.4990536720909688,0.13043478260869565,170,0.40340909090909094,3,2,17,10,171,38,0.27205882352941174,0.07142857142857142,0
davidbaumbach,karendenne,0.0,0.0,8,0.0,0,4,1,8,8,60,0.0,0.42857142857142855,0
johnarnold,larrycampbell,0.0,0.0,11,0.0,0,6,11,1,161,4,0.2545454545454545,0.0,0
christianyoder,ziminlu,0.0,0.0,2,0.0,0,5,2,1,9,3,0.0,0.0,0
stevenharris,suzanneadams,0.0,0.0,36,0.0,0,3,12,3,90,17,0.3333333333333333,0.6666666666666666,0
tanyarohauer,shelleycorman,0.0,0.0,55,0.0,0,4,11,5,56,20,0.41818181818181815,0.4,0
cindyolson,vkamins,0.0,0.0,3,0.0,0,-1,3,1,4,16,0.3333333333333333,0.0,0
geraldnemec,eldon,0.0,0.0,8,0.0,0,3,4,2,22,12,0.0,1.0,0
mikegrigsby,garyhickerson,0.0,0.0,28,0.0,0,3,14,2,118,2,0.1978021978021978,1.0,0
peterkeohane,stewartrosman,0.0,0.0,18,0.0,0,3,9,2,37,3,0.3055555555555556,0.0,0
frankermis,ericbass,0.6213349345596119,0.16666666666666666,12,0.2,1,2,4,3,54,33,0.8333333333333334,0.0,0
info,raymondbowen,0.5581106265512472,0.1,24,0.16666666666666666,1,2,3,8,10,39,0.0,0.2857142857142857,0
richardshapiro,torikuykendall,0.0,0.0,42,0.0,0,3,7,6,75,15,0.23809523809523808,0.3333333333333333,0
scottneal,samanthaboyd,0.0,0.0,42,0.0,0,3,6,7,16,35,0.6666666666666666,0.6190476190476191,0
shonawilson,samanthaboyd,0.0,0.0,14,0.0,0,4,2,7,10,35,0.0,0.6190476190476191,0
lornabrennan,stuartzisman,0.0,0.0,4,0.0,0,5,4,1,11,1,0.8333333333333334,0.0,0
torikuykendall,chrisabel,0.0,0.0,6,0.0,0,5,6,1,15,4,0.3333333333333333,0.0,0
karendenne,cindyolson,1.613740043014111,0.375,24,0.4666666666666667,3,2,8,3,60,4,0.42857142857142855,0.3333333333333333,0
jayreitmeyer,johnarnold,0.43429448190325176,0.06666666666666667,55,0.1,1,2,5,11,40,161,0.5,0.2545454545454545,0
brittdavis,vkaminski,0.0,0.0,3,0.0,0,-1,3,1,10,16,0.3333333333333333,0.0,0
samanthaboyd,russelldiamond,0.0,0.0,7,0.0,0,4,7,1,35,5,0.6190476190476191,0.0,0
drewfossum,chrisabel,0.0,0.0,6,0.0,0,4,6,1,57,4,0.26666666666666666,0.0,0
russelldiamond,lorrainelindberg,0.0,0.0,5,0.0,0,7,1,5,5,13,0.0,1.0,0
davidbaumbach,kaynecoulter,0.0,0.0,1,0.0,0,7,1,1,8,3,0.0,0.0,0
timbelden,russelldiamond,0.0,0.0,7,0.0,0,4,7,1,39,5,0.2857142857142857,0.0,0
lesliereeves,stewartrosman,0.0,0.0,8,0.0,0,3,4,2,14,3,0.5,0.0,0
brenthendry,info,0.0,0.0,18,0.0,0,3,6,3,9,10,0.5333333333333333,0.0,0
rickbuy,susanbailey,0.0,0.0,60,0.0,0,3,6,10,25,61,0.26666666666666666,0.4444444444444444,0
rickbuy,lauraluce,0.0,0.0,12,0.0,0,3,6,2,25,18,0.26666666666666666,0.0,0
stephaniepanus,jamesderrick,0.0,0.0,40,0.0,0,3,8,5,59,19,0.2857142857142857,0.2,0
vkamins,debraperlingiere,0.0,0.0,4,0.0,0,-1,1,4,16,15,0.0,0.16666666666666666,0
johnambler,vkaminski,0.0,0.0,1,0.0,0,-1,1,1,4,16,0.0,0.0,0
vkamins,douggilbert-smith,0.0,0.0,2,0.0,0,-1,1,2,16,4,0.0,1.0,0
kamkeiser,johngriffith,0.6213349345596119,0.058823529411764705,77,0.2,1,2,11,7,107,88,0.18181818181818182,0.23809523809523808,0
edwardsacks,davidport,0.3001016285004131,0.1,30,0.03571428571428571,1,2,6,5,17,19,0.7333333333333333,0.3,0
cameron,rosaleefleming,0.0,0.0,3,0.0,0,4,3,1,19,2,1.0,0.0,0
kevinhyatt,rickbuy,0.0,0.0,36,0.0,0,3,6,6,23,25,0.4666666666666667,0.26666666666666666,0
stephaniesever,sallybeck,0.0,0.0,18,0.0,0,4,2,9,4,27,0.0,0.19444444444444445,0
brianredmond,tklohman,0.0,0.0,18,0.0,0,4,3,6,13,20,0.3333333333333333,0.8666666666666667,0
molliegustafson,robertbadeer,0.0,0.0,3,0.0,0,3,1,3,1,12,0.0,0.6666666666666666,0
vkaminski,molliegustafson,0.0,0.0,1,0.0,0,-1,1,1,16,1,0.0,0.0,0
chrisabel,stevenharris,0.0,0.0,12,0.0,0,4,1,12,4,90,0.0,0.3333333333333333,0
stuartzisman,mikegrigsby,0.0,0.0,14,0.0,0,4,1,14,1,118,0.0,0.1978021978021978,0
brenthendry,rickbuy,0.0,0.0,36,0.0,0,3,6,6,9,25,0.5333333333333333,0.26666666666666666,0
rosaleefleming,lisamellencamp,0.6213349345596119,0.16666666666666666,6,0.2,1,2,1,6,2,25,0.0,0.06666666666666667,0
davidoxley,errolmclaughlin,0.0,0.0,30,0.0,0,3,6,5,32,127,0.6666666666666666,0.5,0
shonawilson,elizabethsager,0.0,0.0,32,0.0,0,3,2,16,10,80,0.0,0.2,0
victorlamadrid,jamesderrick,0.0,0.0,5,0.0,0,6,1,5,55,19,0.0,0.2,0
timbelden,joehartsoe,0.0,0.0,21,0.0,0,3,7,3,39,3,0.2857142857142857,0.6666666666666666,0
samanthaboyd,johnlavorato,0.0,0.0,154,0.0,0,3,7,22,35,124,0.6190476190476191,0.15584415584415584,0
davidoxley,kaynecoulter,0.0,0.0,6,0.0,0,4,6,1,32,3,0.6666666666666666,0.0,0
molliegustafson,ziminlu,0.0,0.0,1,0.0,0,5,1,1,1,3,0.0,0.0,0
arsystem,jamesderrick,0.0,0.0,30,0.0,0,3,6,5,19,19,0.13333333333333333,0.2,0
inarangel,cameron,0.0,0.0,30,0.0,0,3,10,3,154,19,0.2222222222222222,1.0,0
victorlamadrid,matthewlenhart,0.0,0.0,5,0.0,0,3,1,5,55,32,0.0,0.5,0
torikuykendall,jimschwieger,0.0,0.0,30,0.0,0,3,6,5,15,22,0.3333333333333333,0.2,0
kamkeiser,brianredmond,0.0,0.0,33,0.0,0,3,11,3,107,13,0.18181818181818182,0.3333333333333333,0
marieheard,cindyolson,0.0,0.0,51,0.0,0,3,17,3,171,4,0.27205882352941174,0.3333333333333333,0
robertbadeer,gregjohnston,0.0,0.0,9,0.0,0,4,3,3,12,6,0.6666666666666666,0.3333333333333333,0
cameron,travismccullough,0.0,0.0,12,0.0,0,4,3,4,19,4,1.0,0.3333333333333333,0
debraperlingiere,dutchquigley,0.0,0.0,24,0.0,0,3,4,6,15,72,0.16666666666666666,0.5,0
